Id,Label,Colour,Tags,Title,URL,Community_Python,Degree,Betweenness,Modularity_Class_Gephi
RU2054539C1,RU2054539C1,current,similar-only,УСТРОЙСТВО ДЛЯ ДОСТАВКИ ГЕОФИЗИЧЕСКИХ ПРИБОРОВ В ГОРИЗОНТАЛЬНУЮ СКВАЖИНУ Российский патент 1996 года по МПК E21B47/01,https://patenton.ru/patent/RU2054539C1,6,0.000127,0.0,16
RU2054563C1,RU2054563C1,current,similar-only,ПАРОГАЗОВЫЙ ДВИГАТЕЛЬ Российский патент 1996 года по МПК F01K25/00,https://patenton.ru/patent/RU2054563C1,454,0.000127,0.0,253
RU2056510C1,RU2056510C1,current,similar-only,СПОСОБ РАБОТЫ ДВУХТАКТНОГО ДВИГАТЕЛЯ ВНУТРЕННЕГО СГОРАНИЯ Российский патент 1996 года по МПК F02B27/00 F02B33/02,https://patenton.ru/patent/RU2056510C1,7,0.000127,0.0,3
RU2056521C1,RU2056521C1,current,similar-only,СПОСОБ ВОСПЛАМЕНЕНИЯ ТОПЛИВНОЙ СМЕСИ В ДВИГАТЕЛЕ ВНУТРЕННЕГО СГОРАНИЯ И КОММУТАТОР СИСТЕМЫ ЗАЖИГАНИЯ ДВИГАТЕЛЯ ВНУТРЕННЕГО СГОРАНИЯ Российский патент 1996 года по МПК F02P3/08,https://patenton.ru/patent/RU2056521C1,678,0.000127,0.0,676
RU2056574C1,RU2056574C1,current,similar-only,УСТРОЙСТВО ДЛЯ СОЕДИНЕНИЯ ТРУБОПРОВОДОВ ПОД УГЛОМ Российский патент 1996 года по МПК F16L27/00,https://patenton.ru/patent/RU2056574C1,363,0.000127,0.0,291
RU2056829C1,RU2056829C1,current,similar-only,"АППАРАТ ""ВИАП"" ДЛЯ ИСКУССТВЕННОЙ ВЕНТИЛЯЦИИ ЛЕГКИХ Российский патент 1996 года по МПК A61H31/02",https://patenton.ru/patent/RU2056829C1,15,0.000127,0.0,5
RU2057203C1,RU2057203C1,current,parsed,СПОСОБ ИЗГОТОВЛЕНИЯ КОРРОЗИОННО-СТОЙКОГО ПРОТИВООБРАСТАЮЩЕГО МАТЕРИАЛА Российский патент 1996 года по МПК C23C28/02 B32B15/18,https://patenton.ru/patent/RU2057203C1,17,0.000508,1e-06,178
RU2057444C1,RU2057444C1,current,similar-only,УСТРОЙСТВО ДЛЯ ЛОВЛИ РЫБЫ Российский патент 1996 года по МПК A01K97/01 A01K73/12,https://patenton.ru/patent/RU2057444C1,181,0.000127,0.0,113
RU2057571C1,RU2057571C1,current,similar-only,УСТРОЙСТВО ДЛЯ РАЗДЕЛЕНИЯ ТВЕРДОЙ И ЖИДКОЙ ФАЗ ПРОМЫШЛЕННЫХ СТОКОВ Российский патент 1996 года по МПК B01D21/26 B04C9/00,https://patenton.ru/patent/RU2057571C1,672,0.000127,0.0,569
RU2057660C1,RU2057660C1,current,similar-only,СПОСОБ ПОГРУЗКИ И РАЗГРУЗКИ ДЛИННОМЕРНОГО ГРУЗА С ТРАНСПОРТНОГО СРЕДСТВА И ТРАНСПОРТНОЕ СРЕДСТВО ДЛЯ ЕГО ОСУЩЕСТВЛЕНИЯ Российский патент 1996 года по МПК B60P3/40,https://patenton.ru/patent/RU2057660C1,682,0.000254,0.000164,112
RU2057677C1,RU2057677C1,current,similar-only,МНОГОЦЕЛЕВОЕ ОДНОПАЛУБНОЕ СУДНО Российский патент 1996 года по МПК B63B25/18,https://patenton.ru/patent/RU2057677C1,260,0.000127,0.0,162
RU2057691C1,RU2057691C1,current,similar-only,"УСТАНОВКА БАШЕННОГО ТИПА ДЛЯ СКЛАДИРОВАНИЯ ИЗДЕЛИЙ ""ПАНАМАК"" Российский патент 1996 года по МПК B65G1/137",https://patenton.ru/patent/RU2057691C1,641,0.000127,0.0,655
RU2057859C1,RU2057859C1,current,parsed,СКЛАДНАЯ СТРОИТЕЛЬНАЯ СТРУКТУРА Российский патент 1996 года по МПК E04B1/343 E04B7/00 E04B1/32,https://patenton.ru/patent/RU2057859C1,234,0.000763,0.00095,247
RU2057951C1,RU2057951C1,current,similar-only,"ДВИГАТЕЛЬ КАШЕВАРОВА ""ДК"" Российский патент 1996 года по МПК F02B41/00",https://patenton.ru/patent/RU2057951C1,40,0.000127,0.0,14
RU2057957C1,RU2057957C1,current,similar-only,МОДУЛЬНЫЙ ДВИГАТЕЛЬ ВНУТРЕННЕГО СГОРАНИЯ ПУСТЫНЦЕВА Российский патент 1996 года по МПК F02B75/26 F02B75/32,https://patenton.ru/patent/RU2057957C1,454,0.000254,0.0,253
RU2057963C1,RU2057963C1,current,parsed,ТЕПЛОВОЙ ДВИГАТЕЛЬ Российский патент 1996 года по МПК F02G1/43,https://patenton.ru/patent/RU2057963C1,7,0.00089,2e-06,3
RU2060557C1,RU2060557C1,current,parsed,СПОСОБ ДИСТАНЦИОННОГО УПРАВЛЕНИЯ ОБЪЕКТОМ С ПОДВИЖНОГО ОБЪЕКТА Российский патент 1996 года по МПК G08C23/00 G01R29/12,https://patenton.ru/patent/RU2060557C1,24,0.000635,0.0,65
RU2060601C1,RU2060601C1,current,similar-only,УСТРОЙСТВО ДЛЯ СВЧ НАГРЕВА Российский патент 1996 года по МПК H05B6/64 F24C7/02 F26B3/32,https://patenton.ru/patent/RU2060601C1,8,0.000127,0.0,11
RU2060749C1,RU2060749C1,current,parsed,НАСТОЛЬНАЯ ИГРА Российский патент 1996 года по МПК A63F3/02,https://patenton.ru/patent/RU2060749C1,381,0.00089,3e-06,309
RU2060754C1,RU2060754C1,current,similar-only,ИГРА Российский патент 1996 года по МПК A63F9/08 A63H33/00,https://patenton.ru/patent/RU2060754C1,9,0.000127,0.0,317
RU2061143C1,RU2061143C1,current,similar-only,РЕЧНОЕ БЕРЕГОВОЕ ВОДОЗАБОРНОЕ СООРУЖЕНИЕ Российский патент 1996 года по МПК E02B9/04,https://patenton.ru/patent/RU2061143C1,649,0.000127,0.0,4
RU2061299C1,RU2061299C1,current,similar-only,ЭЛЕКТРОПРИВОД Российский патент 1996 года по МПК H02P6/00,https://patenton.ru/patent/RU2061299C1,242,0.000127,0.0,176
RU2061368C1,RU2061368C1,current,similar-only,СПОСОБ МНОГОКРАТНОГО ОБЛОВА ОГРАНИЧЕННОЙ АКВАТОРИИ Российский патент 1996 года по МПК A01K73/00,https://patenton.ru/patent/RU2061368C1,148,0.001017,1.7e-05,649
RU2061369C1,RU2061369C1,current,similar-only,СПОСОБ ОПРЕДЕЛЕНИЯ ПОЛОЖЕНИЯ ТРАЛА ОТНОСИТЕЛЬНО КОСЯКОВ РЫБЫ В ПРОЦЕССЕ ТРАЛЕНИЯ Российский патент 1996 года по МПК A01K73/10,https://patenton.ru/patent/RU2061369C1,178,0.000254,0.0,205
RU2061619C1,RU2061619C1,current,similar-only,БУКСИРУЕМОЕ УСТРОЙСТВО Российский патент 1996 года по МПК B63B21/66,https://patenton.ru/patent/RU2061619C1,638,0.000127,0.0,691
RU2061622C1,RU2061622C1,current,similar-only,САЛОН ТУРИСТИЧЕСКОГО СУДНА Российский патент 1996 года по МПК B63B35/73 B63B21/66 B63G8/00,https://patenton.ru/patent/RU2061622C1,359,0.000127,0.0,157
RU2061646C1,RU2061646C1,current,similar-only,ЛЕБЕДКА Российский патент 1996 года по МПК B66D1/22,https://patenton.ru/patent/RU2061646C1,566,0.000127,0.0,560
RU2062985C1,RU2062985C1,current,similar-only,ГИРОГОРИЗОНТКОМПАС ДЛЯ ПОДВИЖНОГО ОБЪЕКТА Российский патент 1996 года по МПК G01C19/38,https://patenton.ru/patent/RU2062985C1,10,0.000127,0.0,64
RU2063026C1,RU2063026C1,current,similar-only,УСТРОЙСТВО ДЛЯ ИЗМЕРЕНИЯ СОДЕРЖАНИЯ ВОДЫ В НЕФТЕПРОДУКТАХ Российский патент 1996 года по МПК G01N29/02,https://patenton.ru/patent/RU2063026C1,522,0.000127,0.0,513
RU2063497C1,RU2063497C1,current,similar-only,СПОСОБ ВОЗВЕДЕНИЯ ФУНДАМЕНТА Российский патент 1996 года по МПК E02D27/12 E02D29/09,https://patenton.ru/patent/RU2063497C1,11,0.000127,0.0,624
RU2064639C1,RU2064639C1,current,similar-only,ОБЖИГОВАЯ КОНВЕЙЕРНАЯ МАШИНА Российский патент 1996 года по МПК F27B21/06,https://patenton.ru/patent/RU2064639C1,12,0.000127,0.0,223
RU2064937C1,RU2064937C1,current,similar-only,СПОСОБ ПОЛУЧЕНИЯ ОКРАШЕННОГО ОРГАНИЧЕСКОГО СТЕКЛА Российский патент 1996 года по МПК C08F120/14 C08F2/44,https://patenton.ru/patent/RU2064937C1,13,0.000127,0.0,95
